province,type_property,property_id,subtype_property,postal_code,city,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,distance_from_train_stations_by_foot,distance_from_elementary_school_by_foot,distance_from_high_school_by_foot
brussels,house,vbe35189,residence,1150,sint_pieters_woluwe,925000.0,to_be_renovated,fuel_oil,south_east,16.0,G,50.832327,4.4528542,3,5.0,2,3,1,1,0,0,(information_not_available),4300.0,352.0,352.0
brussels,apartment,vbe35095,duplex,1000,brussels,395000.0,excellent,gas,not_specified,13.0,E,50.8469517,4.3876671,2,2.0,2,2,0,0,0,0,no_flooding_area,781.0,157.0,184.0
brussels,apartment,vbe35094,apartment,1210,sint_joost_ten_node,295000.0,normal,gas,not_specified,10.0,D,50.8516118,4.3733382,2,2.0,1,1,1,0,0,0,no_flooding_area,1100.0,173.0,237.0
brussels,apartment,vbe35040,apartment,1050,elsene,465000.0,fully_renovated,gas,not_specified,14.0,C,50.8235717,4.3766927,0,2.0,1,1,1,0,0,0,no_flooding_area,995.0,269.0,561.0
brussels,apartment,vbe34652,studio,1210,sint_joost_ten_node,150000.0,to_renovate,electricity,not_specified,34.0,F,50.8512144,4.3742387,2,0.0,1,0,1,0,0,0,(information_not_available),1200.0,197.0,133.0
brussels,apartment,vbe34650,apartment,1180,ukkel,190000.0,to_be_renovated,not_specified,not_specified,50.0,G,50.8103165,4.3415279,2,1.0,1,1,1,0,0,0,no_flooding_area,1800.0,205.0,774.0
brussels,apartment,rbw19605,studio,1180,ukkel,155000.0,excellent,not_specified,not_specified,54.0,F,50.8,4.3333333,0,1.0,1,0,0,0,0,0,(information_not_available),847.0,734.0,268.0
brussels,apartment,vbe34263,duplex,1070,anderlecht,319000.0,to_renovate,gas,not_specified,15.0,G,50.8455239,4.3242407,2,3.0,1,2,1,0,0,0,(information_not_available),476.0,284.0,421.0
brussels,house,vbe34034,mixed_building,1160,oudergem,625000.0,normal,gas,not_specified,21.0,E,50.8206834,4.4098093,2,4.0,2,3,1,1,0,0,(information_not_available),589.0,168.0,235.0
brussels,apartment,vbe34000,apartment,1030,schaarbeek,329000.0,normal,gas,not_specified,15.0,E,50.8501828,4.4005491,2,2.0,1,1,1,0,1,0,no_flooding_area,861.0,305.0,321.0
brussels,apartment,vbe33925,apartment,1000,brussels,339000.0,excellent,gas,not_specified,29.0,not_specified,50.8427501,4.3515499,0,1.0,1,1,1,0,0,0,(information_not_available),340.0,117.0,284.0
brussels,house,vbe33924,mixed_building,1080,sint_jans_molenbeek,550000.0,excellent,gas,not_specified,14.0,D,50.8569755,4.3193694,2,2.0,2,2,1,1,1,0,(information_not_available),1100.0,201.0,510.0
brussels,apartment,rbw17015,apartment,1050,elsene,1080000.0,excellent,not_specified,not_specified,253.0,E,50.81896,4.38865,0,3.0,1,2,0,0,0,0,(information_not_available),497.0,515.0,342.0
brussels,apartment,vbe32723,apartment,1160,oudergem,300000.0,normal,gas,not_specified,70.0,C,50.8135769,4.4140542,4,2.0,1,1,1,0,0,0,(information_not_available),1000.0,701.0,701.0
brussels,apartment,vbe32699,studio,1000,brussels,185000.0,normal,not_specified,not_specified,38.0,not_specified,50.8227567,4.3672239,0,3.0,1,0,0,0,0,0,(information_not_available),1300.0,415.0,419.0
brussels,apartment,vbe32440,ground_floor,1050,elsene,310000.0,normal,not_specified,not_specified,10.0,D,50.8235717,4.3766927,0,1.0,1,1,0,0,0,0,(information_not_available),995.0,269.0,561.0
brussels,apartment,vbe32420,apartment,1083,ganshoren,225000.0,normal,gas,not_specified,17.0,E,50.87113,4.30253,0,1.0,1,1,1,0,0,0,(information_not_available),1100.0,235.0,647.0
brussels,apartment,vbe32350,apartment,1140,evere,235000.0,to_renovate,gas,not_specified,13.0,C,50.874464,4.399615,2,3.0,1,1,1,0,0,0,no_flooding_area,1000.0,238.0,1300.0
brussels,house,vbd27505,residence,1190,vorst,350000.0,to_be_renovated,gas,not_specified,17.0,G,50.8,4.3166667,2,7.0,1,1,0,1,0,0,(information_not_available),900.0,191.0,766.0
brussels,house,vbe09500,mixed_building,1080,sint_jans_molenbeek,550000.0,excellent,gas,not_specified,14.0,D,50.8569755,4.3193694,2,2.0,2,2,1,1,1,0,(information_not_available),1100.0,201.0,510.0
brussels,apartment,vbe36997,penthouse,1190,vorst,420000.0,not_specified,gas,not_specified,92.0,C,50.8142177,4.3246279,0,2.0,2,2,1,0,0,0,no_flooding_area,812.0,116.0,812.0
brussels,apartment,rbw26287,apartment,1070,anderlecht,280000.0,not_specified,gas,not_specified,96.0,D,50.8420959,4.3102106,0,2.0,1,1,1,0,0,0,no_flooding_area,1200.0,420.0,420.0
brussels,apartment,rbw26285,apartment,1070,anderlecht,200000.0,not_specified,gas,not_specified,76.0,E,50.8257354,4.2841726,0,2.0,1,1,0,0,0,0,no_flooding_area,1600.0,675.0,767.0
brussels,house,vbe36970,residence,1082,berchem_sainte_agathe,389000.0,normal,gas,not_specified,14.0,F,50.8623456,4.2893543,2,4.0,1,2,1,1,0,0,no_flooding_area,1500.0,239.0,239.0
brussels,apartment,vbe36968,apartment,1200,sint_lambrechts_woluwe,375000.0,normal,gas,not_specified,14.0,F,50.8477202,4.435191,2,3.0,2,2,1,0,1,0,(information_not_available),3000.0,395.0,373.0
brussels,apartment,vbe36962,studio,1040,etterbeek,210000.0,normal,gas,not_specified,46.0,F,50.830747,4.4033689,3,0.0,1,1,1,0,1,0,no_flooding_area,1400.0,440.0,440.0
brussels,apartment,vbe36921,ground_floor,1130,haren,325000.0,new,hot_air,not_specified,14.0,A,50.895148,4.418088,3,1.0,1,1,1,1,0,0,no_flooding_area,849.0,63.0,1100.0
brussels,apartment,vbe36909,apartment,1190,vorst,175000.0,to_be_renovated,gas,not_specified,14.0,G,50.8,4.3166667,3,1.0,1,1,0,0,0,0,no_flooding_area,900.0,191.0,766.0
brussels,house,rbw26183,villa,1180,ukkel,1100000.0,to_be_renovated,gas,not_specified,23.0,G,50.8,4.3333333,4,4.0,2,2,1,1,0,0,no_flooding_area,847.0,734.0,268.0
brussels,house,rbw26182,villa,1180,ukkel,1290000.0,excellent,gas,not_specified,18.0,G,50.8,4.3333333,4,6.0,3,4,1,1,1,0,no_flooding_area,847.0,734.0,268.0
brussels,house,rbw26179,residence,1180,ukkel,1995000.0,normal,gas,not_specified,30.0,G,50.7748717,4.3407539,4,5.0,2,4,1,1,1,1,no_flooding_area,262.0,299.0,340.0
brussels,house,rbw26178,villa,1180,ukkel,1690000.0,to_be_renovated,fuel_oil,not_specified,15.0,not_specified,50.8,4.3333333,4,5.0,1,4,1,1,1,0,no_flooding_area,847.0,734.0,268.0
brussels,apartment,vbe36902,apartment,1000,brussels,435000.0,normal,gas,not_specified,15.0,B,50.8411553,4.3789342,4,2.0,1,1,1,0,0,0,no_flooding_area,546.0,303.0,249.0
brussels,house,vbe36895,residence,1150,sint_pieters_woluwe,975000.0,excellent,hot_air,south,17.0,not_specified,50.8381484,4.4329851,3,5.0,2,0,1,1,1,0,no_flooding_area,2500.0,283.0,343.0
brussels,apartment,vbe36891,apartment,1030,schaarbeek,215000.0,normal,gas,not_specified,15.0,E,50.8776808,4.3841357,2,1.0,1,1,1,0,0,0,no_flooding_area,540.0,412.0,519.0
brussels,house,vbe36879,villa,1150,sint_pieters_woluwe,1395000.0,new,not_specified,east,18.0,not_specified,50.83227,4.43382,3,3.0,1,2,0,1,0,0,(information_not_available),2700.0,362.0,488.0
brussels,apartment,rbw26168,penthouse,1050,elsene,1300000.0,excellent,not_specified,not_specified,30.0,D,50.8235717,4.3766927,2,4.0,1,0,1,0,1,0,(information_not_available),995.0,269.0,561.0
brussels,house,vbe36855,mixed_building,1083,ganshoren,750000.0,to_renovate,fuel_oil,not_specified,17.0,G,50.8690254,4.3213266,2,5.0,3,3,1,1,0,0,no_flooding_area,985.0,512.0,543.0
brussels,apartment,vbe36849,apartment,1180,ukkel,595000.0,not_specified,gas,south,144.0,B,50.8,4.3333333,2,2.0,2,0,1,0,1,0,(information_not_available),847.0,734.0,268.0
brussels,apartment,rbw26158,apartment,1000,brussels,345000.0,normal,not_specified,not_specified,96.0,D,50.8516921,4.344549,0,1.0,1,0,0,0,0,0,(information_not_available),1300.0,197.0,176.0
brussels,apartment,vbe36848,apartment,1080,sint_jans_molenbeek,179000.0,fully_renovated,gas,not_specified,13.0,C,50.8569755,4.3193694,2,2.0,1,1,1,0,0,0,no_flooding_area,1100.0,201.0,510.0
brussels,apartment,vbe36847,apartment,1070,anderlecht,179000.0,fully_renovated,gas,not_specified,13.0,C,50.8365808,4.308187,2,2.0,1,1,1,0,0,0,no_flooding_area,1900.0,428.0,363.0
